fecha,mes,anio,servicio,tipo_pago,afluencia
2022-01-29,Enero,2022,Sevicios Temporales,Gratuidad,398
2022-01-30,Enero,2022,Sevicios Temporales,Boleto,2508
2022-01-30,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-30,Enero,2022,Sevicios Temporales,Gratuidad,434
2022-01-31,Enero,2022,Sevicios Temporales,Boleto,2982
2022-01-31,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-31,Enero,2022,Sevicios Temporales,Gratuidad,516
2022-02-01,Febrero,2022,Sevicios Temporales,Boleto,3436
2022-02-01,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-01,Febrero,2022,Sevicios Temporales,Gratuidad,859
2022-02-02,Febrero,2022,Sevicios Temporales,Boleto,4470
2022-02-02,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-02,Febrero,2022,Sevicios Temporales,Gratuidad,1117
2022-02-03,Febrero,2022,Sevicios Temporales,Boleto,5003
2022-02-03,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-03,Febrero,2022,Sevicios Temporales,Gratuidad,1251
2022-02-04,Febrero,2022,Sevicios Temporales,Boleto,4098
2022-02-04,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-04,Febrero,2022,Sevicios Temporales,Gratuidad,1025
2022-02-05,Febrero,2022,Sevicios Temporales,Boleto,1537
2022-02-05,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-05,Febrero,2022,Sevicios Temporales,Gratuidad,385
2022-02-06,Febrero,2022,Sevicios Temporales,Boleto,479
2022-02-06,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-06,Febrero,2022,Sevicios Temporales,Gratuidad,120
2022-02-07,Febrero,2022,Sevicios Temporales,Boleto,603
2022-02-07,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-07,Febrero,2022,Sevicios Temporales,Gratuidad,151
2022-02-08,Febrero,2022,Sevicios Temporales,Boleto,1285
2022-02-08,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-08,Febrero,2022,Sevicios Temporales,Gratuidad,321
2022-02-09,Febrero,2022,Sevicios Temporales,Boleto,1187
2022-02-09,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-09,Febrero,2022,Sevicios Temporales,Gratuidad,297
2022-02-10,Febrero,2022,Sevicios Temporales,Boleto,1284
2022-02-10,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-10,Febrero,2022,Sevicios Temporales,Gratuidad,321
2022-02-11,Febrero,2022,Sevicios Temporales,Boleto,1222
2022-02-11,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-11,Febrero,2022,Sevicios Temporales,Gratuidad,306
2022-02-12,Febrero,2022,Sevicios Temporales,Boleto,765
2022-02-12,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-12,Febrero,2022,Sevicios Temporales,Gratuidad,192
2022-02-13,Febrero,2022,Sevicios Temporales,Boleto,371
2022-02-13,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-13,Febrero,2022,Sevicios Temporales,Gratuidad,93
2022-02-14,Febrero,2022,Sevicios Temporales,Boleto,1301
2022-02-14,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-14,Febrero,2022,Sevicios Temporales,Gratuidad,325
2022-02-15,Febrero,2022,Sevicios Temporales,Boleto,1383
2022-02-15,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-15,Febrero,2022,Sevicios Temporales,Gratuidad,346
2022-02-16,Febrero,2022,Sevicios Temporales,Boleto,0
2022-02-16,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-16,Febrero,2022,Sevicios Temporales,Gratuidad,0
2022-02-17,Febrero,2022,Sevicios Temporales,Boleto,0
2022-02-17,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-17,Febrero,2022,Sevicios Temporales,Gratuidad,2
2022-02-18,Febrero,2022,Sevicios Temporales,Boleto,0
2022-02-18,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-18,Febrero,2022,Sevicios Temporales,Gratuidad,0
2022-02-19,Febrero,2022,Sevicios Temporales,Boleto,0
2022-02-19,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-19,Febrero,2022,Sevicios Temporales,Gratuidad,0
2022-02-20,Febrero,2022,Sevicios Temporales,Boleto,0
2022-02-20,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-20,Febrero,2022,Sevicios Temporales,Gratuidad,0
2022-02-21,Febrero,2022,Sevicios Temporales,Boleto,0
2022-02-21,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-21,Febrero,2022,Sevicios Temporales,Gratuidad,0
2022-02-22,Febrero,2022,Sevicios Temporales,Boleto,0
2022-02-22,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-22,Febrero,2022,Sevicios Temporales,Gratuidad,0
2022-02-23,Febrero,2022,Sevicios Temporales,Boleto,0
2022-02-23,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-23,Febrero,2022,Sevicios Temporales,Gratuidad,0
2022-02-24,Febrero,2022,Sevicios Temporales,Boleto,0
2022-02-24,Febrero,2022,Sevicios Temporales,Prepago,0
2022-02-24,Febrero,2022,Sevicios Temporales,Gratuidad,0
2022-02-25,Febrero,2022,Sevicios Temporales,Boleto,0
2022-02-25,Febrero,2022,Sevicios Temporales,Prepago,70
2022-02-25,Febrero,2022,Sevicios Temporales,Gratuidad,1
2022-02-26,Febrero,2022,Sevicios Temporales,Boleto,4014
2022-02-26,Febrero,2022,Sevicios Temporales,Prepago,460
2022-02-26,Febrero,2022,Sevicios Temporales,Gratuidad,5
2022-02-27,Febrero,2022,Sevicios Temporales,Boleto,4378
2022-02-27,Febrero,2022,Sevicios Temporales,Prepago,655
2022-02-27,Febrero,2022,Sevicios Temporales,Gratuidad,0
2022-02-28,Febrero,2022,Sevicios Temporales,Boleto,4054
2022-02-28,Febrero,2022,Sevicios Temporales,Prepago,1095
2022-02-28,Febrero,2022,Sevicios Temporales,Gratuidad,10
2022-03-01,Marzo,2022,Sevicios Temporales,Boleto,0
2022-03-01,Marzo,2022,Sevicios Temporales,Prepago,0
2022-03-01,Marzo,2022,Sevicios Temporales,Gratuidad,0
2022-03-02,Marzo,2022,Sevicios Temporales,Boleto,0
2022-03-02,Marzo,2022,Sevicios Temporales,Prepago,0
2022-03-02,Marzo,2022,Sevicios Temporales,Gratuidad,0
2022-03-03,Marzo,2022,Sevicios Temporales,Boleto,0
2022-03-03,Marzo,2022,Sevicios Temporales,Prepago,0
2022-03-03,Marzo,2022,Sevicios Temporales,Gratuidad,0
2022-03-04,Marzo,2022,Sevicios Temporales,Boleto,0
2022-03-04,Marzo,2022,Sevicios Temporales,Prepago,0
2022-03-04,Marzo,2022,Sevicios Temporales,Gratuidad,0
2022-03-05,Marzo,2022,Sevicios Temporales,Boleto,0
2022-03-05,Marzo,2022,Sevicios Temporales,Prepago,0
2022-03-05,Marzo,2022,Sevicios Temporales,Gratuidad,0
2022-03-06,Marzo,2022,Sevicios Temporales,Boleto,0
2022-03-06,Marzo,2022,Sevicios Temporales,Prepago,0
2022-03-06,Marzo,2022,Sevicios Temporales,Gratuidad,0
2022-03-07,Marzo,2022,Sevicios Temporales,Boleto,0
2022-03-07,Marzo,2022,Sevicios Temporales,Prepago,0
2022-03-07,Marzo,2022,Sevicios Temporales,Gratuidad,0
2022-03-08,Marzo,2022,Sevicios Temporales,Boleto,0
2022-03-08,Marzo,2022,Sevicios Temporales,Prepago,0
2022-03-08,Marzo,2022,Sevicios Temporales,Gratuidad,0
2022-03-09,Marzo,2022,Sevicios Temporales,Boleto,1232
2022-03-09,Marzo,2022,Sevicios Temporales,Prepago,19
2022-03-09,Marzo,2022,Sevicios Temporales,Gratuidad,426
2022-03-10,Marzo,2022,Sevicios Temporales,Boleto,1338
2022-03-10,Marzo,2022,Sevicios Temporales,Prepago,16
2022-03-10,Marzo,2022,Sevicios Temporales,Gratuidad,463
2022-03-11,Marzo,2022,Sevicios Temporales,Boleto,1434
2022-03-11,Marzo,2022,Sevicios Temporales,Prepago,44
2022-03-11,Marzo,2022,Sevicios Temporales,Gratuidad,497
2022-03-12,Marzo,2022,Sevicios Temporales,Boleto,1284
2022-03-12,Marzo,2022,Sevicios Temporales,Prepago,12
2022-03-12,Marzo,2022,Sevicios Temporales,Gratuidad,444
2022-03-13,Marzo,2022,Sevicios Temporales,Boleto,629
2022-03-13,Marzo,2022,Sevicios Temporales,Prepago,10
2022-03-13,Marzo,2022,Sevicios Temporales,Gratuidad,217
2022-03-14,Marzo,2022,Sevicios Temporales,Boleto,1314
2022-03-14,Marzo,2022,Sevicios Temporales,Prepago,24
2022-03-14,Marzo,2022,Sevicios Temporales,Gratuidad,455
2022-03-15,Marzo,2022,Sevicios Temporales,Boleto,1409
2022-03-15,Marzo,2022,Sevicios Temporales,Prepago,29
2022-03-15,Marzo,2022,Sevicios Temporales,Gratuidad,488
2022-03-16,Marzo,2022,Sevicios Temporales,Boleto,2183
2022-03-16,Marzo,2022,Sevicios Temporales,Prepago,32
2022-03-16,Marzo,2022,Sevicios Temporales,Gratuidad,756
2022-03-17,Marzo,2022,Sevicios Temporales,Boleto,3479
2022-03-17,Marzo,2022,Sevicios Temporales,Prepago,18
2022-03-17,Marzo,2022,Sevicios Temporales,Gratuidad,1205
2022-03-18,Marzo,2022,Sevicios Temporales,Boleto,3695
2022-03-18,Marzo,2022,Sevicios Temporales,Prepago,24
2022-03-18,Marzo,2022,Sevicios Temporales,Gratuidad,1279
2022-03-19,Marzo,2022,Sevicios Temporales,Boleto,3196
2022-03-19,Marzo,2022,Sevicios Temporales,Prepago,23
2022-03-19,Marzo,2022,Sevicios Temporales,Gratuidad,938
2022-03-20,Marzo,2022,Sevicios Temporales,Boleto,5824
2022-03-20,Marzo,2022,Sevicios Temporales,Prepago,523
2022-03-20,Marzo,2022,Sevicios Temporales,Gratuidad,797
2022-03-21,Marzo,2022,Sevicios Temporales,Boleto,6386
2022-03-21,Marzo,2022,Sevicios Temporales,Prepago,886
2022-03-21,Marzo,2022,Sevicios Temporales,Gratuidad,653
2022-03-22,Marzo,2022,Sevicios Temporales,Boleto,3725
2022-03-22,Marzo,2022,Sevicios Temporales,Prepago,20
2022-03-22,Marzo,2022,Sevicios Temporales,Gratuidad,1289
2022-03-23,Marzo,2022,Sevicios Temporales,Boleto,4795
2022-03-23,Marzo,2022,Sevicios Temporales,Prepago,37
2022-03-23,Marzo,2022,Sevicios Temporales,Gratuidad,1660
2022-03-24,Marzo,2022,Sevicios Temporales,Boleto,3534
2022-03-24,Marzo,2022,Sevicios Temporales,Prepago,36
2022-03-24,Marzo,2022,Sevicios Temporales,Gratuidad,1224
2022-03-25,Marzo,2022,Sevicios Temporales,Boleto,3860
2022-03-25,Marzo,2022,Sevicios Temporales,Prepago,45
2022-03-25,Marzo,2022,Sevicios Temporales,Gratuidad,1337
2022-03-26,Marzo,2022,Sevicios Temporales,Boleto,2946
2022-03-26,Marzo,2022,Sevicios Temporales,Prepago,26
2022-03-26,Marzo,2022,Sevicios Temporales,Gratuidad,1021
2022-03-27,Marzo,2022,Sevicios Temporales,Boleto,1599
2022-03-27,Marzo,2022,Sevicios Temporales,Prepago,12
2022-03-27,Marzo,2022,Sevicios Temporales,Gratuidad,553
2022-03-28,Marzo,2022,Sevicios Temporales,Boleto,3363
2022-03-28,Marzo,2022,Sevicios Temporales,Prepago,28
2022-03-28,Marzo,2022,Sevicios Temporales,Gratuidad,1164
2022-03-29,Marzo,2022,Sevicios Temporales,Boleto,3853
2022-03-29,Marzo,2022,Sevicios Temporales,Prepago,29
2022-03-29,Marzo,2022,Sevicios Temporales,Gratuidad,1333
2022-03-30,Marzo,2022,Sevicios Temporales,Boleto,8440
2022-03-30,Marzo,2022,Sevicios Temporales,Prepago,241
2022-03-30,Marzo,2022,Sevicios Temporales,Gratuidad,2922
2022-03-31,Marzo,2022,Sevicios Temporales,Boleto,9443
2022-03-31,Marzo,2022,Sevicios Temporales,Prepago,205
2022-03-31,Marzo,2022,Sevicios Temporales,Gratuidad,3270
2022-04-01,Abril,2022,Sevicios Temporales,Boleto,10391
2022-04-01,Abril,2022,Sevicios Temporales,Prepago,159
2022-04-01,Abril,2022,Sevicios Temporales,Gratuidad,2406
2022-04-02,Abril,2022,Sevicios Temporales,Boleto,8240
2022-04-02,Abril,2022,Sevicios Temporales,Prepago,56
2022-04-02,Abril,2022,Sevicios Temporales,Gratuidad,1795
2022-04-03,Abril,2022,Sevicios Temporales,Boleto,7109
2022-04-03,Abril,2022,Sevicios Temporales,Prepago,486
2022-04-03,Abril,2022,Sevicios Temporales,Gratuidad,1035
2022-04-04,Abril,2022,Sevicios Temporales,Boleto,9630
2022-04-04,Abril,2022,Sevicios Temporales,Prepago,123
2022-04-04,Abril,2022,Sevicios Temporales,Gratuidad,2229
2022-04-05,Abril,2022,Sevicios Temporales,Boleto,8531
2022-04-05,Abril,2022,Sevicios Temporales,Prepago,126
2022-04-05,Abril,2022,Sevicios Temporales,Gratuidad,1977
2022-04-06,Abril,2022,Sevicios Temporales,Boleto,9637
2022-04-06,Abril,2022,Sevicios Temporales,Prepago,178
2022-04-06,Abril,2022,Sevicios Temporales,Gratuidad,2232
2022-04-07,Abril,2022,Sevicios Temporales,Boleto,8661
2022-04-07,Abril,2022,Sevicios Temporales,Prepago,124
2022-04-07,Abril,2022,Sevicios Temporales,Gratuidad,2005
2022-04-08,Abril,2022,Sevicios Temporales,Boleto,18389
2022-04-08,Abril,2022,Sevicios Temporales,Prepago,664
2022-04-08,Abril,2022,Sevicios Temporales,Gratuidad,4258
2022-04-09,Abril,2022,Sevicios Temporales,Boleto,11476
2022-04-09,Abril,2022,Sevicios Temporales,Prepago,390
2022-04-09,Abril,2022,Sevicios Temporales,Gratuidad,2657
2022-04-10,Abril,2022,Sevicios Temporales,Boleto,7754
2022-04-10,Abril,2022,Sevicios Temporales,Prepago,258
2022-04-10,Abril,2022,Sevicios Temporales,Gratuidad,1794
2022-04-11,Abril,2022,Sevicios Temporales,Boleto,16553
2022-04-11,Abril,2022,Sevicios Temporales,Prepago,708
2022-04-11,Abril,2022,Sevicios Temporales,Gratuidad,3833
2022-04-12,Abril,2022,Sevicios Temporales,Boleto,17056
2022-04-12,Abril,2022,Sevicios Temporales,Prepago,559
2022-04-12,Abril,2022,Sevicios Temporales,Gratuidad,3951
2022-04-13,Abril,2022,Sevicios Temporales,Boleto,16797
2022-04-13,Abril,2022,Sevicios Temporales,Prepago,662
2022-04-13,Abril,2022,Sevicios Temporales,Gratuidad,3892
2022-04-14,Abril,2022,Sevicios Temporales,Boleto,11119
2022-04-14,Abril,2022,Sevicios Temporales,Prepago,266
2022-04-14,Abril,2022,Sevicios Temporales,Gratuidad,2574
2022-04-15,Abril,2022,Sevicios Temporales,Boleto,8687
2022-04-15,Abril,2022,Sevicios Temporales,Prepago,204
2022-04-15,Abril,2022,Sevicios Temporales,Gratuidad,2013
2022-04-16,Abril,2022,Sevicios Temporales,Boleto,11477
2022-04-16,Abril,2022,Sevicios Temporales,Prepago,231
2022-04-16,Abril,2022,Sevicios Temporales,Gratuidad,2656
2022-04-17,Abril,2022,Sevicios Temporales,Boleto,9135
2022-04-17,Abril,2022,Sevicios Temporales,Prepago,169
2022-04-17,Abril,2022,Sevicios Temporales,Gratuidad,2117
2022-04-18,Abril,2022,Sevicios Temporales,Boleto,16553
2022-04-18,Abril,2022,Sevicios Temporales,Prepago,608
2022-04-18,Abril,2022,Sevicios Temporales,Gratuidad,3835
2022-04-19,Abril,2022,Sevicios Temporales,Boleto,12579
2022-04-19,Abril,2022,Sevicios Temporales,Prepago,573
2022-04-19,Abril,2022,Sevicios Temporales,Gratuidad,2913
2022-04-20,Abril,2022,Sevicios Temporales,Boleto,13111
2022-04-20,Abril,2022,Sevicios Temporales,Prepago,352
2022-04-20,Abril,2022,Sevicios Temporales,Gratuidad,3040
2022-04-21,Abril,2022,Sevicios Temporales,Boleto,13012
2022-04-21,Abril,2022,Sevicios Temporales,Prepago,698
2022-04-21,Abril,2022,Sevicios Temporales,Gratuidad,3017
2022-04-22,Abril,2022,Sevicios Temporales,Boleto,11807
2022-04-22,Abril,2022,Sevicios Temporales,Prepago,565
2022-04-22,Abril,2022,Sevicios Temporales,Gratuidad,2738
2022-04-23,Abril,2022,Sevicios Temporales,Boleto,8394
2022-04-23,Abril,2022,Sevicios Temporales,Prepago,125
2022-04-23,Abril,2022,Sevicios Temporales,Gratuidad,1945
2022-04-24,Abril,2022,Sevicios Temporales,Boleto,4650
2022-04-24,Abril,2022,Sevicios Temporales,Prepago,37
2022-04-24,Abril,2022,Sevicios Temporales,Gratuidad,1077
2022-04-25,Abril,2022,Sevicios Temporales,Boleto,13226
2022-04-25,Abril,2022,Sevicios Temporales,Prepago,566
2022-04-25,Abril,2022,Sevicios Temporales,Gratuidad,3067
2022-04-26,Abril,2022,Sevicios Temporales,Boleto,12611
2022-04-26,Abril,2022,Sevicios Temporales,Prepago,402
2022-04-26,Abril,2022,Sevicios Temporales,Gratuidad,2927
2022-04-27,Abril,2022,Sevicios Temporales,Boleto,14042
2022-04-27,Abril,2022,Sevicios Temporales,Prepago,483
2022-04-27,Abril,2022,Sevicios Temporales,Gratuidad,3257
2022-04-28,Abril,2022,Sevicios Temporales,Boleto,14069
2022-04-28,Abril,2022,Sevicios Temporales,Prepago,442
2022-04-28,Abril,2022,Sevicios Temporales,Gratuidad,3260
2022-04-29,Abril,2022,Sevicios Temporales,Boleto,13914
2022-04-29,Abril,2022,Sevicios Temporales,Prepago,333
2022-04-29,Abril,2022,Sevicios Temporales,Gratuidad,3228
2022-04-30,Abril,2022,Sevicios Temporales,Boleto,6466
2022-04-30,Abril,2022,Sevicios Temporales,Prepago,88
2022-04-30,Abril,2022,Sevicios Temporales,Gratuidad,1500
2022-01-01,Enero,2022,Atenea,Boleto,2702
2022-01-01,Enero,2022,Atenea,Prepago,0
2022-01-01,Enero,2022,Atenea,Gratuidad,467
2022-01-02,Enero,2022,Atenea,Boleto,2917
2022-01-02,Enero,2022,Atenea,Prepago,0
2022-01-02,Enero,2022,Atenea,Gratuidad,504
2022-01-03,Enero,2022,Atenea,Boleto,15258
2022-01-03,Enero,2022,Atenea,Prepago,0
2022-01-03,Enero,2022,Atenea,Gratuidad,2638
2022-01-04,Enero,2022,Atenea,Boleto,17538
2022-01-04,Enero,2022,Atenea,Prepago,0
2022-01-04,Enero,2022,Atenea,Gratuidad,3032
2022-01-05,Enero,2022,Atenea,Boleto,17494
2022-01-05,Enero,2022,Atenea,Prepago,0
2022-01-05,Enero,2022,Atenea,Gratuidad,3024
2022-01-06,Enero,2022,Atenea,Boleto,16117
2022-01-06,Enero,2022,Atenea,Prepago,0
2022-01-06,Enero,2022,Atenea,Gratuidad,2786
