nombre,inicia,termina,tipo_via,vel_max,latitud,longitud,geo_shape
Anillo Periferico Acueducto de Tenayuca,Limite Estado de Mexico,Eje Central Av. de los 100 Metros,Via de acceso controlado,80,19.52906619,-99.16747911,"{""type"": ""LineString"", ""coordinates"": [[-99.1588542555479, 19.52642247739407], [-99.15971528054925, 19.526761358069592], [-99.1621036646852, 19.52749304250117], [-99.16274314476664, 19.52765960440217], [-99.16676443376406, 19.52875713086787], [-99.16804934239713, 19.52917056287271], [-99.17008973067766, 19.529842760497647], [-99.17191596671275, 19.530431677212437], [-99.17494977917816, 19.531398332913643], [-99.17521121395824, 19.531475751096963], [-99.1755030040295, 19.53153812604899], [-99.17584505161925, 19.53157381832424], [-99.1761288274129, 19.531577865400152]]}"
Calzada Gral. Ignacio Zaragoza,Viaducto Rio de la Piedad,Eje 8 Sur Calzada Ermita Iztapalapa,Via de acceso controlado,80,19.38499788,-99.03688784,"{""type"": ""LineString"", ""coordinates"": [[-99.07697962410735, 19.40873920381919], [-99.07697892480701, 19.40873880376406], [-99.07084222823008, 19.405226381756744], [-99.07058208747121, 19.405077478079143], [-99.05843280517415, 19.398028032409957], [-99.05750796205788, 19.3974913468587], [-99.04461416835643, 19.390194040319983], [-99.02825798628919, 19.380889074172217], [-99.0244168978974, 19.378592520040456], [-99.023677533277, 19.378133205047806], [-99.0141920298119, 19.37119229183919], [-99.00465242621047, 19.363859780564546], [-99.00190235122426, 19.361843707721814], [-99.00047415925327, 19.36101346383002], [-98.99907309002857, 19.359762753266132], [-98.99869265298082, 19.359428794397367], [-98.99826001535449, 19.35907245327608]]}"
Calzada San Antonio Abad,Eje 1 Sur Fray Servando Teresa de Mier,Viaducto Miguel Aleman,Via de acceso controlado,80,19.41357631,-99.1349526,"{""type"": ""LineString"", ""coordinates"": [[-99.13649603768198, 19.403414629355456], [-99.13603257055344, 19.406775814413127], [-99.13583171723985, 19.40808551672539], [-99.13535289873481, 19.411207668062985], [-99.13498962663972, 19.413216595021296], [-99.13401969507224, 19.41949164344337], [-99.13370620819664, 19.42147899367416], [-99.13365840199226, 19.421772534383788], [-99.13365204558463, 19.422155745613765], [-99.13342976792043, 19.42340301433922], [-99.13336437160312, 19.42372788642569]]}"
Liga de Carretas,Eje 1 Norte Albañiles,Calzada Ignacio Zaragoza,Via de acceso controlado,80,19.43141663,-99.11017037,"{""type"": ""LineString"", ""coordinates"": [[-99.10799903573928, 19.434514935875026], [-99.10801038624454, 19.4345092600574], [-99.10882306853703, 19.434102847808187], [-99.10944907169788, 19.43379031593802], [-99.1098817504931, 19.433425695386177], [-99.1100842815894, 19.43306107343478], [-99.11056298981526, 19.43108168505271], [-99.11073790220061, 19.430300340859908], [-99.11079313761445, 19.42977944260514], [-99.11084837335413, 19.428815775992632], [-99.11094043256098, 19.428095193337956], [-99.11114147233124, 19.427500560245935]]}"
Eje Central Av. de los 100 Metros,Av. de los Insurgentes Norte,Anillo Periferico Rio Tlalnepantla,Via de acceso controlado,80,19.49857999,-99.14833452,"{""type"": ""LineString"", ""coordinates"": [[-99.13716043368237, 19.47091278776759], [-99.13716125647352, 19.470914513250307], [-99.13733988280835, 19.47128918052015], [-99.13756345276728, 19.471758113054495], [-99.13793724345884, 19.47254213044818], [-99.13949247843414, 19.47659590582986], [-99.14132216649814, 19.48099456846804], [-99.14294855600443, 19.484971470428807], [-99.14370043965197, 19.48683680458598], [-99.14507302676948, 19.490241912480183], [-99.14637086516733, 19.493447781914934], [-99.14697386954842, 19.494937252470894], [-99.14908817558725, 19.50020737095544], [-99.1505214309626, 19.5040879837044], [-99.15093611600625, 19.505140776924623], [-99.15280854181795, 19.50989435750484], [-99.15468335767272, 19.51458270866114], [-99.15505194625955, 19.515744446972125], [-99.15597212333182, 19.517677505566574], [-99.1573970132858, 19.52128484802712], [-99.15778334699776, 19.521930128552572], [-99.15783481911541, 19.522124865711255], [-99.15798270270139, 19.52278088468559], [-99.15813159310296, 19.523181218350075], [-99.158586971792, 19.524365509297425], [-99.15877708179626, 19.52577747426307], [-99.15885421681547, 19.5264224621497]]}"
Eje 3 Oriente Av. Azucar,Viaducto Rio de la Piedad,Eje 4 Sur Av. Pdte. Plutarco Elias Calles,Via de acceso controlado,80,19.40208709,-99.11365382,"{""type"": ""LineString"", ""coordinates"": [[-99.11354542749349, 19.405898678420918], [-99.11356221598218, 19.40574032497862], [-99.11378392259203, 19.40339527048391], [-99.11351224275644, 19.398270197051353]]}"
Eje 3 Oriente Geografos,Eje 6 Sur Trabajadoras Sociales,Circuito Interior Rio Churubusco,Via de acceso controlado,80,19.37180838,-99.10788339,"{""type"": ""LineString"", ""coordinates"": [[-99.10771559711017, 19.373478694484646], [-99.10768698154425, 19.372891544082748], [-99.10771865366186, 19.372503115457718], [-99.10778199824004, 19.372144564373794], [-99.10820660836835, 19.37015282502237]]}"
Eje 5 Sur Av. de las Torres,Eje 8 Sur Calzada Ermita Iztapalapa,Vicente Guerrero,Via de acceso controlado,80,19.35570049,-99.02118042,"{""type"": ""LineString"", ""coordinates"": [[-99.01503953411054, 19.352446053728986], [-99.01851852949483, 19.354309592952823], [-99.02733275216949, 19.358933344819103]]}"
Via Expres TAPO,Tenochtitlan,Limite Estado de Mexico,Via de acceso controlado,80,19.43935968,-99.0547123,"{""type"": ""LineString"", ""coordinates"": [[-99.05018396871871, 19.451028138809527], [-99.05027769755158, 19.450674618547747], [-99.05027769726082, 19.450321098020343], [-99.04990278014056, 19.449503578070953], [-99.0486491505467, 19.44669746646944], [-99.04738380465315, 19.443780826412148], [-99.0473486558727, 19.44344938735066], [-99.04736037217171, 19.44321737919548], [-99.04750096596736, 19.442852794366008], [-99.04772357288071, 19.442620785066136], [-99.0481336392397, 19.4423445834234], [-99.04876631233616, 19.44200209259322], [-99.05280838940723, 19.439693023340695], [-99.05690904887209, 19.43742811522546], [-99.05900624286814, 19.43623488254787], [-99.0593811601696, 19.436058106392913], [-99.05960376746926, 19.4359144757687], [-99.06016614323391, 19.435295758048486], [-99.06050591152534, 19.434875912590012], [-99.06081216621348, 19.43430850658487], [-99.06083648768451, 19.43425271236989], [-99.06095396065511, 19.434216873685898], [-99.06099871135213, 19.434197902108988], [-99.06105204482802, 19.434162853974346], [-99.061187747857, 19.433984423728955], [-99.06179597496275, 19.433057111941764], [-99.06303072624281, 19.43078569454757], [-99.0639972610977, 19.428983250353212], [-99.06419306652506, 19.428831059761116], [-99.06458562542771, 19.428595097786804], [-99.0647557147786, 19.428413899801477]]}"
Eje Central Av. Aztecas,Antonio Delfin Madrigal,Eje 10 Sur Av. Pedro Henriquez Ureña,Eje Vial,50,19.32267075,-99.16059875,"{""type"": ""LineString"", ""coordinates"": [[-99.17059760826209, 19.312192453473276], [-99.17023794798322, 19.31242714314265], [-99.16908628876408, 19.312969660381192], [-99.15697959118532, 19.326665837798934], [-99.15489518415592, 19.329026263124916], [-99.15365786384993, 19.330444422117907], [-99.15326763245297, 19.330948867579995], [-99.15306775785929, 19.3314342771084], [-99.15276318689607, 19.33206245558319], [-99.15254427650655, 19.33244316847236], [-99.15231584800343, 19.33272870422831], [-99.15204934808014, 19.332938096668443], [-99.15169718848634, 19.333176042976046], [-99.15150683129205, 19.33338543541525], [-99.1513046014182, 19.333804258722374]]}"
