nombre,inicia,termina,tipo_via,vel_max,latitud,longitud,geo_shape
Eje 2 Sur Av. del Taller,Calzada San Antonio Abad,Circuito Interior Jesus Galindo y Villa,Eje Vial,50,19.41311796,-99.11616223,"{""type"": ""LineString"", ""coordinates"": [[-99.13498962663972, 19.41321659502133], [-99.13340141796176, 19.413290088782823], [-99.13065891390535, 19.41335148008331], [-99.12870078082142, 19.413395287806843], [-99.12814223421698, 19.4134391870861], [-99.12782342339425, 19.413459959692137], [-99.12698508959411, 19.41349392127451], [-99.12563254505967, 19.413555676040612], [-99.12416310374456, 19.413589015219383], [-99.12356991556832, 19.413607455309556], [-99.12172152859596, 19.41368082767589], [-99.12164503763736, 19.413693944077632], [-99.12119569443429, 19.4137709978549], [-99.12059018871729, 19.41383111086993], [-99.11781760962187, 19.41392128103121], [-99.11601702660005, 19.414026479475165], [-99.11547525771711, 19.413921281143658], [-99.11286202238186, 19.413710883806388], [-99.11271594304613, 19.41369620850773], [-99.10822512140622, 19.413245003618027], [-99.10740523633497, 19.413181478296607], [-99.10669890309609, 19.413091179305294], [-99.1058756729089, 19.413009472383933], [-99.10481864783439, 19.412784045152698], [-99.10394507045244, 19.41252548652561], [-99.1032854684367, 19.4122681523351], [-99.10260390744678, 19.412000921482147], [-99.10196933280514, 19.41175035985473], [-99.10102278935793, 19.411321352600982], [-99.09946122093436, 19.410675121147136], [-99.09874417474934, 19.41037454760786], [-99.0977274057202, 19.41050717070112]]}"
Eje 2A Sur Dr. Balmis,Eje 1 Poniente Av. Cuauhtemoc,Eje Central Lazaro Cardenas,Eje Vial,50,19.41469428,-99.14924067,"{""type"": ""LineString"", ""coordinates"": [[-99.15458017005172, 19.415093378308345], [-99.15364944352979, 19.41502156892037], [-99.15099895653921, 19.414820905865167], [-99.15033168127583, 19.414770381609614], [-99.14833143747275, 19.414630759057303], [-99.14831712142447, 19.41462975947683], [-99.14390101170366, 19.41429732133455]]}"
Eje 2A Sur Jose Tomas Cuellar,Calzada de Tlalpan,Ramon I. Aldama,Eje Vial,50,19.4126746,-99.13408492,"{""type"": ""LineString"", ""coordinates"": [[-99.13498962663972, 19.413216595021296], [-99.13318021600057, 19.412132606944546]]}"
Eje 3 Sur Añil,Canela,Viaducto Rio de la Piedad,Eje Vial,50,19.40225239,-99.0957393,"{""type"": ""LineString"", ""coordinates"": [[-99.08918651101561, 19.396385607342054], [-99.08912081444387, 19.396495772254415], [-99.08866328633229, 19.39726024945751], [-99.08851949177247, 19.39749452350851], [-99.08845413112657, 19.397716466781144], [-99.08845413104439, 19.397963070812438], [-99.08853256455656, 19.398172684102576], [-99.08863714181904, 19.398308315332997], [-99.0889247315929, 19.39857957902068], [-99.09044111006722, 19.399689287257722], [-99.09062412187296, 19.399861908543397], [-99.09067641070622, 19.399948218347397], [-99.09085942161413, 19.400219478622283], [-99.09096399958065, 19.400503068671693], [-99.09104243316642, 19.40086063828736], [-99.09114701115703, 19.401218206494924], [-99.09131695031577, 19.401489465587723], [-99.0915653224761, 19.40176072297571], [-99.0917221892976, 19.4018593626298], [-99.09198363423172, 19.401970331234857], [-99.09285947385314, 19.40208130022319], [-99.0975916230846, 19.40272245167656], [-99.09801285962658, 19.402797240764006], [-99.0987027631998, 19.402919729243], [-99.10075510453791, 19.40320331449133], [-99.1008858271793, 19.40331428211048], [-99.10105576562223, 19.403499228678225], [-99.10240220615815, 19.405471979451463], [-99.10257214511269, 19.405804878289267], [-99.10263750616653, 19.406014481763677], [-99.10261136189685, 19.406803572578312], [-99.10268979541597, 19.407161127775183], [-99.10295123965473, 19.407494023258263], [-99.10354013510637, 19.407938370407468]]}"
Eje 3 Sur Calzada Chabacano,Eje 1 Oriente Calzada de la Viga,Calzada San Antonio Abad,Eje Vial,50,19.40865339,-99.13177566,"{""type"": ""LineString"", ""coordinates"": [[-99.12764739043905, 19.4089502766736], [-99.1289257728157, 19.40887491704769], [-99.12984082908237, 19.40882559985136], [-99.13004998452345, 19.408788611681604], [-99.13029835742786, 19.408739294533905], [-99.13208925346713, 19.408628329848113], [-99.13385400537501, 19.408554353594393], [-99.1346121953473, 19.408480377510642], [-99.13503050684068, 19.40840640080435], [-99.13539652925257, 19.408344753686208], [-99.13583171723985, 19.40808551672539]]}"
Eje 3 Sur Dr. Ignacio Morones Prieto,Eje Central Lazaro Cardenas,Eje 1 Poniente Av. Cuauhtemoc,Eje Vial,50,19.40686588,-99.14993567,"{""type"": ""LineString"", ""coordinates"": [[-99.14466461488061, 19.40719709144483], [-99.1446696225074, 19.40719681718431], [-99.14509612777132, 19.40717345744225], [-99.14759292530495, 19.40703783270779], [-99.14970250290908, 19.4068936537323], [-99.15029887827848, 19.40685289055041], [-99.15350157600248, 19.406606299757964], [-99.15475618612517, 19.406533901923915], [-99.15520517857767, 19.40655896885765]]}"
Eje 4 Sur Benjamin Franklin,Circuito Interior Jose Vasconcelos,Av. Nuevo Leon,Eje Vial,50,19.40565442,-99.17770272,"{""type"": ""LineString"", ""coordinates"": [[-99.18421680159666, 19.40780663573001], [-99.1780244375727, 19.40577628826784], [-99.17732924018456, 19.405548331756872], [-99.17711199079784, 19.405477094176796], [-99.17493204007971, 19.404707691515405], [-99.17274351191193, 19.404008546163084], [-99.17167111637545, 19.40365701162168], [-99.17118746887049, 19.403506569996594]]}"
Eje 4 Sur Av. Coyoacan,Viaducto Rio de la Piedad,Providencia,Eje Vial,50,19.39933876,-99.16756775,"{""type"": ""LineString"", ""coordinates"": [[-99.16786255301359, 19.400422053391154], [-99.16755935790565, 19.399252120665196], [-99.16746894228856, 19.398797479645236], [-99.16728175690362, 19.398466653180613], [-99.16711277430531, 19.39835473567926]]}"
Eje 4 Sur Av. Te,Circuito Interior Rio Churubusco,Eje 4 Oriente Canal Rio Churubusco,Eje Vial,50,19.39513291,-99.09305043,"{""type"": ""LineString"", ""coordinates"": [[-99.09883885690385, 19.396798281594695], [-99.0965940061393, 19.396623430836286], [-99.09469892141607, 19.396392103562633], [-99.09374023102315, 19.396118717276245], [-99.09287072178095, 19.39555091244943], [-99.08845628861263, 19.39258567898183], [-99.08775233701874, 19.392110992902374]]}"
Eje 4 Sur San Rafael Atlixco,Eje 4 Oriente Canal Rio Churubusco,Av. Rio Mayo,Eje Vial,50,19.38968442,-99.08414971,"{""type"": ""LineString"", ""coordinates"": [[-99.08775233701874, 19.392110992902374], [-99.08321693648429, 19.38905256400225], [-99.08054261505873, 19.38726449462335]]}"
Eje 5 Sur Av. de las Torres,Autopista Mexico-Puebla,Eje 8 Sur Calzada Ermita Iztapalapa,Eje Vial,50,19.34848367,-98.99839274,"{""type"": ""LineString"", ""coordinates"": [[-98.98149272117188, 19.345890708886884], [-98.98230883524697, 19.345759713195818], [-98.9828009296307, 19.345662626917854], [-98.98360923017802, 19.34557286478012], [-98.98936520761922, 19.34666896853857], [-98.99529677068176, 19.347813011609087], [-99.0031054591981, 19.349348358488314], [-99.00617628678405, 19.349955982769526], [-99.00984960971982, 19.350675915652364], [-99.01138063446788, 19.350968103078202], [-99.01278717929578, 19.351243885440308], [-99.01309891566645, 19.351406552585885], [-99.0150257768842, 19.352438684914315], [-99.01503953411053, 19.352446053728986]]}"
Eje 5 Sur Santa Maria La Purisima,Eje 4 Oriente Canal Rio Churubusco,Eje 2 Oriente Calzada de la Viga,Eje Vial,50,19.37904802,-99.10967315,"{""type"": ""LineString"", ""coordinates"": [[-99.12261079099785, 19.380189865437316], [-99.12205502794608, 19.38017737904328], [-99.11726157762543, 19.379819837653596], [-99.11307009615885, 19.379483327236887], [-99.10950507220284, 19.37913041598594], [-99.10945828757377, 19.379125784504815], [-99.10676057821978, 19.37881030466151], [-99.1020786048231, 19.378305536188787], [-99.10148960947689, 19.378215811653803], [-99.09677892577234, 19.37749813481458]]}"
Eje 6 Sur Tintoreto,Eje 5 Sur San Antonio,Atlanta,Eje Vial,50,19.38338444,-99.18260012,"{""type"": ""LineString"", ""coordinates"": [[-99.17930818679649, 19.381767439517027], [-99.17940530669013, 19.38174453552442], [-99.17961079812233, 19.3817556498689], [-99.18035450625818, 19.382014851023747], [-99.1805132116473, 19.382085857790518], [-99.18067711794555, 19.38220226203852], [-99.18109481983085, 19.382597626820775], [-99.18129504637969, 19.382754593076324], [-99.18151882917056, 19.38290082582759], [-99.18359450381827, 19.383918713522593], [-99.18494949171635, 19.384635487601138], [-99.18586748307108, 19.385182544006938]]}"
Eje 6 Sur Holbein,Atlanta,Av. de los Insurgentes Sur,Eje Vial,50,19.38240571,-99.1776586,"{""type"": ""LineString"", ""coordinates"": [[-99.17599794795052, 19.383020080195674], [-99.17619291095711, 19.382938939859816], [-99.17860140820623, 19.382075789096195], [-99.17890675679125, 19.381929033145266], [-99.17922366952061, 19.38178737135994], [-99.17930818679649, 19.381767439517027]]}"
Eje 6 Sur Cumbres de Maltrata,Cumbres de Maltrata,Calzada de Tlalpan,Eje Vial,50,19.37752063,-99.14102507,"{""type"": ""LineString"", ""coordinates"": [[-99.14052525286569, 19.377102308620017], [-99.14065248508622, 19.377120664472983], [-99.1408687183524, 19.377279320405005], [-99.14144534305991, 19.378049929481485]]}"
Eje 6 Sur Av. Morelos,Calzada de Tlalpan,Av. Pdte Plutarco Elias Calles,Eje Vial,50,19.37698852,-99.13800873,"{""type"": ""LineString"", ""coordinates"": [[-99.1354980015897, 19.377240332552507], [-99.1361115695763, 19.377097999953783], [-99.1386102746915, 19.376826018869593], [-99.14052525286569, 19.377102308620017]]}"
Eje 9 Sur Miguel Angel de Quevedo,Calzada de Tlalpan,Av. de los Insurgentes Sur,Eje Vial,50,19.34492391,-99.16549245,"{""type"": ""LineString"", ""coordinates"": [[-99.18693210195366, 19.34918054789458], [-99.18643208645524, 19.34897726178648], [-99.18587605059868, 19.348712622059555], [-99.18543458143465, 19.348502538843896], [-99.1851244754209, 19.348370763128408], [-99.18478407291865, 19.348248501358412], [-99.18402404462182, 19.348015460106932], [-99.18305562055659, 19.34772884956246], [-99.18084390763076, 19.347058527923668], [-99.18064629836582, 19.34699419213872], [-99.18041523739666, 19.346918964964168], [-99.17938823229844, 19.346626091080015], [-99.17902648210999, 19.346525833591656], [-99.17780447253861, 19.346298298527035], [-99.17662864768516, 19.346158088626595], [-99.17470213392386, 19.34591343514654], [-99.17144228363037, 19.345528450199666], [-99.1676207506626, 19.345057230290656], [-99.16536698080252, 19.34478887313237], [-99.16193763912065, 19.344369114012018], [-99.16066906144194, 19.344219155545595], [-99.15783654496941, 19.343879568359693], [-99.15460554657311, 19.343440089618927], [-99.15091845428131, 19.342923680701627], [-99.14886080174905, 19.34263292617993], [-99.14636914588318, 19.342280812289243], [-99.1437359885326, 19.341951877128977]]}"
Eje 10 Sur Pedro Henriquez Ureña,Eje Central Av. Aztecas,Av. Cerro del Agua,Eje Vial,50,19.33533813,-99.1636418,"{""type"": ""LineString"", ""coordinates"": [[-99.1760869945069, 19.336144208032643], [-99.17318437925807, 19.335970292274506], [-99.17300813445715, 19.335962460692922], [-99.17247245690788, 19.335945323828934], [-99.17047732565457, 19.335816105132665], [-99.16641576288266, 19.335598660577137], [-99.16300232229376, 19.335394805275463], [-99.15788936230574, 19.335095817373084], [-99.15634827362504, 19.33501427508126], [-99.15463435143991, 19.334620154002746], [-99.1536526857408, 19.33439194371008], [-99.15154114126885, 19.33387029415879], [-99.1513046014182, 19.333804258722374]]}"
Eje 10 Sur Av. Copilco,Av. Cerro del Agua,Av. de los Insurgentes Sur,Eje Vial,50,19.33715274,-99.18319312,"{""type"": ""LineString"", ""coordinates"": [[-99.19038374909452, 19.338679197294226], [-99.1899353779827, 19.338534144433275], [-99.18953210230673, 19.33843901359736], [-99.18701162952051, 19.338072080285134], [-99.18646432697179, 19.337976949364954], [-99.18545613720026, 19.33782745871053], [-99.18490883524436, 19.33770514698862], [-99.18433272679886, 19.337514884952455], [-99.18400432161614, 19.337464201101984], [-99.18389005453989, 19.337442142451252], [-99.18055921851858, 19.33623740405951], [-99.17943580759994, 19.335775334384667], [-99.17930618272398, 19.335761744181173], [-99.1790613374708, 19.335856875815214], [-99.17877328278276, 19.336060730515882], [-99.1783988131236, 19.33626458440155], [-99.17718898536046, 19.33621022371956], [-99.1760869945069, 19.336144208032643]]}"
Eje 10 Sur Rio de La Magdalena,Av. de los Insurgentes Sur,Fraternidad,Eje Vial,50,19.33764156,-99.19602246,"{""type"": ""LineString"", ""coordinates"": [[-99.20141734753935, 19.33568289591898], [-99.20124150073731, 19.335870466338477], [-99.2009102384192, 19.336183042839874], [-99.2004781577963, 19.336359716297412], [-99.19921071920454, 19.336713063006318], [-99.19830334879832, 19.336971276857085], [-99.19759761718016, 19.337107179073286], [-99.19712232775528, 19.33721590102806], [-99.19660383033825, 19.337406163222973], [-99.19604212480529, 19.337976949400222], [-99.19552362752445, 19.338167211245825], [-99.19383851068021, 19.33853414378312], [-99.19320479222434, 19.33843901296407], [-99.19297434847415, 19.338398243045685], [-99.19268629444703, 19.33849337359638], [-99.19218219973956, 19.338697224550224], [-99.1921154576532, 19.338698904454613], [-99.19110199736222, 19.338724404920796], [-99.19043947302684, 19.338697224553727], [-99.19038374909452, 19.338679197294226]]}"
Eje 10 Sur Canoa,Fraternidad,Eje 10A Sur Av. San Jeronimo,Eje Vial,50,19.33400928,-99.20342903,"{""type"": ""LineString"", ""coordinates"": [[-99.20561376220499, 19.33254920653084], [-99.20541505594069, 19.332782039208862], [-99.20508702225595, 19.332948525164365], [-99.20311385265376, 19.334103717240453], [-99.20219207959927, 19.334742467094188], [-99.2015727631741, 19.33551711830475], [-99.20141734753935, 19.33568289591898]]}"
Eje 10 Sur Av. San Jeronimo,Eje 10 Sur Canoa,Anillo Periferico Boulevard Adolfo Lopez Mateos,Eje Vial,50,19.33190439,-99.20816043,"{""type"": ""LineString"", ""coordinates"": [[-99.21071413669743, 19.331308391175657], [-99.20990897945462, 19.33134017870603], [-99.2092095983034, 19.331513974775067], [-99.20787277327524, 19.332088555287758], [-99.20752780893818, 19.33220904782619], [-99.20723962664904, 19.332271609267465], [-99.20678422285145, 19.332327536818106], [-99.20644192422182, 19.33234683168503], [-99.20604827563035, 19.332383014137996], [-99.20561376220499, 19.33254920653084]]}"
Eje 10A Sur Av. Universidad,Av. de los Insurgentes Sur,Eje 10 Sur Av. Copilco,Eje Vial,50,19.33696581,-99.18698789,"{""type"": ""LineString"", ""coordinates"": [[-99.19011454446692, 19.336616638880813], [-99.18629505711662, 19.337039948206105], [-99.18481503224999, 19.33717795714041], [-99.18435341678239, 19.3372731347668], [-99.18389005453989, 19.337442142451273]]}"
Av. Circunvalacion,Eje 2 Norte Canal del Norte,Eje 3 Oriente Ingeniero Eduardo Molina,Arteria principal,50,19.44605959,-99.11930254,"{""type"": ""LineString"", ""coordinates"": [[-99.1247765220633, 19.451991484674796], [-99.1240223185337, 19.451073772973896], [-99.12130099493164, 19.44817240955933], [-99.1194919335998, 19.446306178736087], [-99.11733187985719, 19.443956937561016], [-99.11697161634908, 19.443565112378064], [-99.11379074161748, 19.440159908981055]]}"
Bordo de Xochiaca,Anillo Periferico Rio Churubusco,Via Expres TAPO,Arteria principal,50,19.43180604,-99.05743628,"{""type"": ""LineString"", ""coordinates"": [[-99.06083648768451, 19.434252712369858], [-99.06106522898612, 19.433905285083426], [-99.06118637027024, 19.433671298691777], [-99.06127439282162, 19.433539321468224], [-99.06131080765776, 19.43340032613564], [-99.0613282035457, 19.433268971893266], [-99.06129728913417, 19.43312359097644], [-99.06120502633414, 19.43293406929528], [-99.06107441679403, 19.43273520329397], [-99.06087514639884, 19.432589844518123], [-99.06014626960928, 19.432348673454857], [-99.05689289059616, 19.43155085854712], [-99.05314171063887, 19.430535020972396], [-99.05284695266334, 19.430449722992915], [-99.05258494024439, 19.43035489701064], [-99.05236998413761, 19.430271159353474], [-99.05237017721655, 19.43027023026755]]}"
Calle 47,Viaducto Rio de la Piedad,Calzada General Ignacio Zaragoza,Arteria principal,50,19.41139786,-99.08860829,"{""type"": ""LineString"", ""coordinates"": [[-99.09034500260779, 19.40831641491922], [-99.08930698893047, 19.41012756308907], [-99.08852523132754, 19.411544353788024], [-99.08825178315071, 19.412025865234003], [-99.08721611806558, 19.413914930832732], [-99.08702011335932, 19.41422733117945], [-99.08687600493543, 19.41447685409518], [-99.08687397883679, 19.414480201564935]]}"
Economia,Calzada General Ignacio Zaragoza,Eje 1 Norte Fuerza Aerea Mexicana,Arteria principal,50,19.41783686,-99.08476073,"{""type"": ""LineString"", ""coordinates"": [[-99.08687397883679, 19.414480201564935], [-99.08616091166293, 19.415656537473648], [-99.08527143741283, 19.41700189242149], [-99.08469982333878, 19.418003719473912], [-99.0838623026944, 19.419244503552374], [-99.08303218280304, 19.420548747157426], [-99.08283560956863, 19.420843938834608], [-99.0827455251863, 19.42095518794936], [-99.08269503189543, 19.420994523948067], [-99.08260206674252, 19.42105277075015], [-99.08258222217422, 19.42106350339164], [-99.08256744219035, 19.421070323304576], [-99.08255552186243, 19.421075515208987], [-99.08252922751593, 19.42108601038508]]}"
Calzada de la Viga,Eje 2 Sur Av. del Taller,Eje 2 Oriente Av. H. Congreso de la Union,Arteria principal,50,19.40508962,-99.12582358,"{""type"": ""LineString"", ""coordinates"": [[-99.12782342339425, 19.413459959692137], [-99.12773505263948, 19.412477804221286], [-99.12765398592369, 19.411936513037816], [-99.12738111094812, 19.411035732800098], [-99.12706167905992, 19.409890134496063], [-99.12692023926967, 19.409484700326356], [-99.12683151333484, 19.408956554087553], [-99.12651397331709, 19.408198810883615], [-99.12629645578534, 19.407400072295932], [-99.12626247104882, 19.407219861165164], [-99.12610436597637, 19.406432987563516], [-99.1258875721213, 19.40511576970963], [-99.12572849818618, 19.404329723161517], [-99.12566411356164, 19.404011571707553], [-99.12544948586567, 19.40303618988634], [-99.12520233810254, 19.40206693658255], [-99.12472755492158, 19.400606911821107], [-99.12414220611721, 19.398938296694975], [-99.12387654608897, 19.39802547615883], [-99.1238690425767, 19.39799969249645], [-99.12371381097032, 19.397301494964918], [-99.12370104600497, 19.397254950822884], [-99.12365967344996, 19.3971297882622], [-99.12363901090716, 19.397094187304365], [-99.12360623297434, 19.397043553838664], [-99.12341649015106, 19.396850209062954]]}"
Canal del Moral,Eje 5 Oriente Av. Lic. Javier Rojo Gomez,24 de Marzo de 1867,Arteria principal,50,19.3735457,-99.07088632,"{""type"": ""LineString"", ""coordinates"": [[-99.07878197997294, 19.374069350371595], [-99.07837793740741, 19.37395105833032], [-99.07633003470487, 19.373402314705295], [-99.07536857741864, 19.373166489997413], [-99.07492113029834, 19.373043176249425], [-99.07451288094543, 19.372930665728795], [-99.07291205529445, 19.37249529534146], [-99.0721717335098, 19.37230028592812], [-99.07180157206601, 19.372241329203966], [-99.07170061953092, 19.372241329237635], [-99.07154197863505, 19.372259469907515], [-99.07129680755098, 19.372309356291108], [-99.07067449208948, 19.37255837095644], [-99.07021036108637, 19.372740191564628], [-99.06870568092774, 19.373384173733438], [-99.06739329199654, 19.37398733846219], [-99.0667202719218, 19.3742639772952], [-99.06616262757399, 19.374481660198192], [-99.06559536743315, 19.374708411992923], [-99.06468198365002, 19.37495783978857], [-99.06388397446703, 19.375148311007543], [-99.0634801625088, 19.375216336086588], [-99.0630518571072, 19.375218422586073]]}"
Av. Texcoco,Eulogio Parra,Siervo de la Nacion,Arteria principal,50,19.38356777,-99.02170977,"{""type"": ""LineString"", ""coordinates"": [[-99.05260222245275, 19.398298319858263], [-99.05239670327882, 19.398206336207416], [-99.05140728707362, 19.397719110131643], [-99.05055707310613, 19.397367298139592], [-99.0473740470018, 19.395932458516484], [-99.04513851047905, 19.39488074095994], [-99.04385768188722, 19.394311099307515], [-99.04281708050857, 19.393846905319098], [-99.0423366279046, 19.393631958179885], [-99.04127163232855, 19.39314503307789], [-99.03879064940836, 19.391988654206727], [-99.03449617589541, 19.390025275118358], [-99.03198052453224, 19.388885185875104], [-99.02966676125438, 19.387862123362034], [-99.02482429508504, 19.385619918991626], [-99.02170689359177, 19.384212561115053], [-99.01927255822633, 19.38309027424192], [-99.01778777176152, 19.382386800494807], [-99.0171497035611, 19.38207559784933], [-99.01668187115894, 19.38179140169151], [-99.01487384803492, 19.38080145878093], [-99.01257386965862, 19.379622705040713], [-99.01110651287925, 19.378843797743283], [-99.01021809843215, 19.378403870019316], [-99.00960311902725, 19.378111320489186], [-99.00864059543137, 19.37735450272448], [-99.00785742949509, 19.37684939752112], [-99.00774612783668, 19.37673574269311], [-99.00747434209495, 19.376583640681794], [-99.00298894376208, 19.374002894575938], [-98.99233399404547, 19.367845252301905], [-98.99184609266318, 19.367591677227775], [-98.99177031513699, 19.367515753064815], [-98.9915971445286, 19.36736723751492]]}"
Av. Ferrocarril San Rafael Atlixco,Canal del Moral,Av. Gavilan,Arteria principal,50,19.36701746,-99.07469677,"{""type"": ""LineString"", ""coordinates"": [[-99.07492113029834, 19.373043176249425], [-99.07488053834143, 19.372082330448524], [-99.07479242865082, 19.368965226739185], [-99.07475887171495, 19.36820275213079], [-99.0744834967878, 19.361945468427393], [-99.07445137322351, 19.360992494813445]]}"
Año de Juarez,Eje 8 Sur Calzada Ermita Iztapalapa,Circuito Interior Rio Churubusco,Arteria principal,50,19.36380482,-99.10705715,"{""type"": ""LineString"", ""coordinates"": [[-99.1094693665378, 19.35642455396266], [-99.10898790001296, 19.358029888207117], [-99.10881568853259, 19.3586996042225], [-99.1082066459202, 19.36080780798199], [-99.10796302949431, 19.361699427058756], [-99.10747999561127, 19.363046752915576], [-99.10696335972294, 19.364326703099707], [-99.10621150766666, 19.36625651496528], [-99.10556886360663, 19.367904960207643], [-99.10501442517028, 19.369315636463615], [-99.10461281804723, 19.370309034663556], [-99.10450080149971, 19.370570176941307], [-99.10436760510184, 19.371089224461087]]}"
Prolongacion Division del Norte,Anillo Periferico Boulevard Adolfo Ruiz Cortinez,Redencion,Arteria principal,50,19.27112406,-99.11828292,"{""type"": ""LineString"", ""coordinates"": [[-99.12497033782826, 19.28518176095322], [-99.12484399712282, 19.28486964439836], [-99.12484042707183, 19.2845769709829], [-99.12499747164824, 19.28414866756478], [-99.12519734706815, 19.28380602537847], [-99.12526159177004, 19.28353833631985], [-99.12517201066377, 19.28302806891133], [-99.12465756717722, 19.282112079721788], [-99.12285701188466, 19.278944703928254], [-99.12063554837928, 19.275115077179787], [-99.11860115456959, 19.271539205937252], [-99.11690582752802, 19.2686475499603], [-99.11542341592036, 19.266073711431222], [-99.11428683382488, 19.264100255235824], [-99.11278695389605, 19.261496181674055], [-99.1119718387898, 19.260060574730197], [-99.11115340503217, 19.258680877680217], [-99.11068572856391, 19.2578751292418], [-99.11029989485093, 19.257268055827005]]}"
Av. Santa Ana,Eje 1 Oriente Canal de Miramontes,Canal Nacional,Arteria principal,50,19.32917857,-99.12320218,"{""type"": ""LineString"", ""coordinates"": [[-99.10951184860724, 19.328127761657015], [-99.1104086865272, 19.328181176556004], [-99.11151230430858, 19.32826128537162], [-99.11361566889171, 19.328422490291132], [-99.11408523627054, 19.32845847575124], [-99.11671694059642, 19.328667991428382], [-99.12139262373006, 19.329056209755922], [-99.12432828201635, 19.32929219324465], [-99.12491897708635, 19.329339670296164], [-99.12996688682578, 19.32970323917453], [-99.13116845928354, 19.32976486026146], [-99.13275531830446, 19.329906590424905], [-99.13298387768013, 19.329931238611724], [-99.13407443538823, 19.329999022573574], [-99.13513887171413, 19.330085292599037], [-99.13629945799364, 19.33018940108561], [-99.13674688166014, 19.33022182463892], [-99.13689208085944, 19.33022908563907]]}"
Acueducto,Av. Tlahuac,San Rafael Atlixco,Arteria principal,50,19.29713143,-99.02286171,"{""type"": ""LineString"", ""coordinates"": [[-99.02456386845535, 19.2981755800675], [-99.02445840446939, 19.2981401640319], [-99.02437775268056, 19.29814272245824], [-99.02434724868054, 19.298143901389206], [-99.02423661935275, 19.2981612841677], [-99.02419446018371, 19.298162239588756], [-99.02406082735679, 19.298149161161458], [-99.02400923696665, 19.29814006820196], [-99.02390980812615, 19.298107525850092], [-99.02382709702792, 19.298053929561163], [-99.0237018526832, 19.297934477858362], [-99.02287500841804, 19.297172796152775], [-99.02191623502969, 19.296299637603884], [-99.02148872778083, 19.29601128346461], [-99.0212946522913, 19.295773261221985]]}"
Calzada Acoxpa,Calzada de Tlalpan,Anillo Periferico Boulevard Adolfo Ruiz Cortinez,Arteria principal,50,19.29509942,-99.13120145,"{""type"": ""LineString"", ""coordinates"": [[-99.14745474473114, 19.301282452287946], [-99.14724428787939, 19.30102979277918], [-99.14613803032516, 19.300806694099496], [-99.14557415091812, 19.300709413583103], [-99.14516875362376, 19.300593962271922], [-99.14465712876746, 19.30039506457053], [-99.14463178502673, 19.300385212227972], [-99.14328173017883, 19.29984765676107], [-99.14270906555718, 19.299641758627246], [-99.13834590674415, 19.29789161546846], [-99.13304194092412, 19.295884074131184], [-99.13149180427187, 19.295235559529583], [-99.12787432453928, 19.29372208010313], [-99.12562556667423, 19.292853803756536], [-99.1248746524211, 19.292563857285003], [-99.12244764589013, 19.291624403558377], [-99.12008881295428, 19.290749291020116], [-99.11635294167698, 19.289245313188836], [-99.11604127251825, 19.289323617066618], [-99.11589310845784, 19.28938276774437], [-99.11547749284009, 19.289519928399834], [-99.11525733401291, 19.289515033624447], [-99.11491467267552, 19.289385526859537], [-99.11491096453173, 19.289384125686055]]}"
