linea, estacion, long, lat
6,El Rosario,-99.20004324213112,19.50491083322455
6,Colegio de Bachilleres 1,-99.19744155562037,19.511865134364598
6,De Las Culturas,-99.19214431650205,19.511138873665615
6,Ferrocarriles Nacionales,-99.1875328432122,19.504643068338336
6,UAM Azcapotzalco,-99.18425535966625,19.504091388233263
6,Tecnoparque,-99.17845186128282,19.502436788019885
6,Norte 59,-99.16554657354145,19.497636887489726
6,Norte 45,-99.15965202549596,19.49647675545599
6,Montevideo,-99.15450475816368,19.49611445566196
6,Lindavista-Vallejo,-99.14858789057327,19.49404078496806
6,Instituto del Petróleo,-99.14518613785148,19.493148140243136
6,San Bartolo,-99.1391173222673,19.49196413083694
6,Instituto Politécnico Nacional,-99.1326810916792,19.490451848950144
6,Riobamba,-99.12790775091514,19.488659850668164
6,Deportivo 18 de Marzo,-99.12453391058908,19.48630419313726
6,La Villa,-99.11963061703455,19.485439973946555
6,De los Misterios,-99.11790274459084,19.48717479786703
6,Hospital Infantil La Villa,-99.11405687618425,19.48785696374513
6,Delegación Gustavo A. Madero,-99.11364533616329,19.484259769161838
6,Martín Carrera,-99.10541354036478,19.482072924234263
6,Hospital General La Villa,-99.10301555905998,19.48167029614704
6,San Juan de Aragón,-99.09770577635364,19.479955089780834
6,Gran Canal,-99.09293230742149,19.477105326689006
6,Casas Alemán,-99.08832861885188,19.474277993146163
6,Pueblo San Juan de Aragón,-99.08659550572867,19.471210891308985
6,Loreto Fabela,-99.08108788106284,19.46737608799506
6,416 Poniente,-99.07932878839802,19.472575135330175
6,Deportivo Los Galeana,-99.07795032885353,19.47852278727837
6,Ampliación Providencia,-99.07535037374213,19.479840954664443
6,Volcán de Fuego,-99.07256375905904,19.476996216278252
6,La Pradera,-99.06990163945625,19.47434598688971
6,416 Oriente,-99.07103051533677,19.471272939658714
6,414,-99.07165044183739,19.46888854246522
6,482,-99.07553588935934,19.46690832963612
6,Colegio de Bachilleres 9,-99.0649613327409,19.46974646444602
6,Francisco Morazán,-99.06261373021533,19.467555326116734
6,Villa de Aragón,-99.05916539600553,19.464669619276336
