linea, estacion, long, lat
5,Preparatoria 1,-99.11848529468237,19.274308153377106
5,DIF Xochimilco,-99.11815669101608,19.277460633790916
5,Circuito Cuemanco,-99.11602043034469,19.281774362496442
5,Mayuguarda,-99.11521477918726,19.285310711779758
5,Cañaverales,-99.1139228106202,19.295684442299272
5,Calzada del Hueso,-99.11263918061215,19.301092780942085
5,Vista Hermosa,-99.11257905996004,19.306038063121406
5,Las Bombas,-99.10996471129886,19.31157814082304
5,Tepetlapa,-99.11105102410978,19.31656586692898
5,La Virgen,-99.11285272664223,19.3209312249181
5,Manuela Sáenz,-99.11323753921894,19.324345316871295
5,ESIME Culhuacán,-99.11301663945142,19.32939215440395
5,Cafetales,-99.11281002240452,19.333706710646794
5,Calzada Taxqueña,-99.11267100706102,19.33876606276766
5,Barrio San Antonio,-99.11216508192707,19.343295027913307
5,Pueblo los Reyes,-99.11080016103061,19.34815842217861
5,Ganaderos,-99.11106021718068,19.35022263090683
5,Ermita Iztapalapa,-99.11071869897039,19.356993204166802
5,Atanasio G. Sarabia,-99.10952203837198,19.36157763366862
5,Escuadrón 201,-99.10870205984749,19.365176852585265
5,Churubusco Oriente,-99.10736376473233,19.371752294338222
5,Aculco,-99.1079908839624,19.374879744779964
5,Apatlaco,-99.10963724404228,19.379011700427768
5,Canal Apatlaco,-99.11023030970078,19.38315457212813
5,Colegio de Bachilleres 3,-99.11020972047113,19.38674764647554
5,Oriente 116,-99.11262942775183,19.39113572959787
5,Recreo,-99.11291910631313,19.39485993255612
5,Metro Coyuya,-99.11314441186197,19.3984018942981
5,Hospital General Troncoso,-99.11357567964022,19.40546047567269
5,Mixiuhca,-99.11273573219394,19.408434546838205
5,Avenida del Taller,-99.1122462244113,19.412978700934403
5,Venustiano Carranza,-99.11071719012178,19.418977476868122
5,Moctezuma,-99.11144356811175,19.426067732920554
5,San Lázaro,-99.11494988332942,19.431301414826482
5,Archivo General de la Nación,-99.11421775872155,19.435257307124992
5,Mercado Morelos,-99.11342671601601,19.4412765649543
5,Deportivo Eduardo Molina,-99.11210688300562,19.444795414842243
5,Canal del Norte,-99.11083391517127,19.44885566426952
5,Río Consulado,-99.10862655090611,19.453583433193486
5,Río Santa Coleta,-99.10758268595309,19.456081676624205
5,Oriente 101,-99.10537402039728,19.46156090690982
5,Victoria,-99.10286065561975,19.467291062370638
5,Talismán,-99.10111215212079,19.471014925976537
5,Río Guadalupe,-99.09913909686072,19.47605454729071
5,San Juan de Aragón,-99.09770577635364,19.479955089780834
5,Preparatoria 3,-99.09618765365515,19.483588898161837
5,El Coyol,-99.09447130327683,19.487474331772408
5,Vasco de Quiroga,-99.0920027247841,19.493371657621466
5,5 de Mayo,-99.09044758433838,19.49716343337523
5,314. Memorial New's Divine,-99.08864268891892,19.501002883257517
5,Río de los Remedios,-99.08594635528884,19.507114739462065
