linea, estacion, long, lat
4,Buenavista,-99.1530908101161,19.44641822809728
4,Delegación Cuauhtémoc,-99.15246821306295,19.442783578834604
4,México Tenochtitlan,-99.15330519308432,19.43889276760103
4,Museo San Carlos,-99.15061064971458,19.438247799361786
4,Hidalgo,-99.1466311640242,19.437297055592698
4,Bellas Artes,-99.14172420854608,19.436382472144214
4,Teatro Blanquita,-99.1390647427484,19.438463068213856
4,República de Chile,-99.13501902467816,19.437885097324397
4,República de Argentina,-99.13140275927589,19.437395577553712
4,Teatro del Pueblo,-99.12791954973159,19.436856315517204
4,Mixcalco,-99.12425525341293,19.43642049858686
4,Ferrocarril de Cintura,-99.12140265883907,19.43606770751377
4,Morelos,-99.1190503078279,19.435827442548383
4,Archivo General de la Nación,-99.11421775872155,19.435257307124992
4,San Lázaro,-99.11494988332942,19.431301414826482
4,Moctezuma,-99.11144356811175,19.426067732920554
4,Eduardo Molina,-99.11620297725017,19.42720745555301
4,Hospital Balbuena,-99.1161784865987,19.42510568051252
4,Cecilio Robelo,-99.11983984019625,19.425504095998615
4,Mercado de Sonora,-99.1233816413798,19.423252766826504
4,La Merced,-99.12567376884688,19.42558017524536
4,Las Cruces,-99.12973623221541,19.42629541479721
4,San Pablo,-99.13080679320264,19.4259396452691
4,Pino Suárez Sur,-99.13312270442056,19.425941745568384
4,Museo de la Ciudad,-99.13279418048563,19.42892949592318
4,20 de Noviembre,-99.13478095248036,19.429400284689827
4,Isabel La Católica,-99.13659216971905,19.429711501168452
4,El Salvador,-99.13852155748282,19.429874854871063
4,Eje Central,-99.14071401328752,19.430209682627552
4,Mercados San Juan,-99.14354413527957,19.430627161613852
4,Juárez,-99.14799412815648,19.43141022434765
4,Vocacional 5,-99.1501878542245,19.43157315522472
4,Defensoría Pública,-99.15102088587581,19.433425700359532
4,Glorieta de Colón,-99.15338141985137,19.43380032377408
4,Plaza de la República,-99.15731675599874,19.436028414503784
4,Terminal 1 - Aeropuerto,-99.08357454615123,19.43565257028752
4,Terminal 2 - Aeropuerto,-99.07905809441702,19.421029882905476
4,Pantitlán,-99.0736750193983,19.417216178041215
4,Calle 6,-99.05851727120796,19.42111821872979
4,Alameda Oriente,-99.05323503354327,19.430733797548957
