linea, estacion, long, lat
7,Campo Marte,-99.1993786997207,19.426994428667257
7,Auditorio,-99.19331685086857,19.42589276105151
7,Antropología,-99.18411137643966,19.424717983595606
7,Gandhi,-99.18069149150664,19.423910453915614
7,Chapultepec,-99.1744211885354,19.42368931890775
7,La Diana,-99.17241938976001,19.424646299289535
7,El Ángel,-99.16857468017507,19.426464907317254
7,La Palma,-99.16506856643527,19.428092135473783
7,Hamburgo,-99.1612746005955,19.427459971760992
7,Reforma,-99.15972187227239,19.43083178614095
7,París,-99.15594376565448,19.432663245345008
7,Glorieta Colón,-99.15338141985137,19.43380032377408
7,El Caballito,-99.14906375683162,19.436032666958422
7,Hidalgo,-99.1466311640242,19.437297055592698
7,Glorieta Violeta,-99.14392210306798,19.43967846685693
7,Garibaldi,-99.139275302613,19.443641767967225
7,Glorieta Cuitláhuac,-99.13552285564445,19.44729577896652
7,Tres Culturas,-99.13276408679448,19.450455093621922
7,Peralvillo,-99.13108459155674,19.4527161725606
7,Mercado Beethoven,-99.1290531581667,19.457636849326548
7,Misterios,-99.12765371204948,19.46107427989569
7,Clave,-99.126289767751,19.464941791370457
7,Robles Domínguez,-99.12541588579465,19.46704802096696
7,Excélsior,-99.12354265479317,19.47223183325065
7,Necaxa,-99.12224724334818,19.475579741311797
7,Av. Talismán,-99.1211285786618,19.47858084568648
7,Garrido,-99.11916993131088,19.483498298660773
7,De Los Misterios,-99.11790274459084,19.48717479786703
7,Hospital Infantil La Villa,-99.11405687618425,19.48785696374513
7,Delegación Gustavo A. Madero,-99.11364533616329,19.484259769161838
7,Indios Verdes,-99.11969279990801,19.49682306153782
