linea, estacion, long, lat
3,Pueblo Sta. Cruz Atoyac,-99.16075557614394,19.37177998668007
3,Miguel Laurent,-99.1600687603847,19.374348860613733
3,División del Norte,-99.15897931658587,19.379937761048105
3,Eugenia,-99.15722594362816,19.38632346459793
3,Luz Saviñón,-99.15644321261786,19.390920001980724
3,Etiopía-Plaza de la Transparencia,-99.15628192867675,19.39592862438247
3,Obrero Mundial,-99.15559903050197,19.401097168501654
3,Centro Médico,-99.15513654012268,19.407263348791606
3,Dr. Márquez,-99.15485731734965,19.41117391088812
3,Hospital General,-99.15457430601272,19.414464760582216
3,Jardín Pushkin,-99.15410264757986,19.42041319467243
3,Cuauhtémoc,-99.153721244597,19.424917767131788
3,Balderas,-99.14872938433253,19.428078645977344
3,Juárez,-99.14799412815648,19.43141022434765
3,Hidalgo,-99.1466311640242,19.437297055592698
3,Mina,-99.1485596339554,19.440572519893923
3,Guerrero,-99.14735620680659,19.445469647436454
3,Buenavista,-99.1530908101161,19.44641822809728
3,Ricardo Flores Magón,-99.14589489315979,19.451785094699233
3,Tlatelolco,-99.14505005153505,19.455588949330927
3,Tolnáhuac,-99.14407382416678,19.45988017076517
3,Circuito,-99.14396077550046,19.462608011594973
3,Hospital La Raza,-99.14385905741838,19.467966870522428
3,La Raza,-99.13995402836204,19.467537358166403
3,Héroe de Nacozari,-99.14503591506698,19.47115228865273
3,Cuitláhuac,-99.14615358028158,19.47414576789198
3,Coltongo,-99.14831298208405,19.479775862973078
3,Magdalena La Salinas,-99.14990616302815,19.483883464219836
3,Poniente 128,-99.15195620635187,19.48954645895495
3,Poniente 134,-99.15319849827895,19.492682996934715
3,Montevideo,-99.15450475816368,19.49611445566196
3,Poniente 146,-99.1558817845768,19.500018445569598
3,La Patera,-99.15756287901216,19.503483166833618
3,Júpiter,-99.15922899340843,19.50861391259077
3,Tres Anegas,-99.16193907726044,19.51551397349292
3,Progreso Nacional,-99.16559494103925,19.522741269399845
3,San José de la Escalera,-99.16558798984978,19.52273798518263
3,Tenayuca,-99.17007229905529,19.52864041096952
