fecha,anio,mes,linea,afluencia
8/12/2005,2005,Agosto,Linea 1,266437
8/12/2005,2005,Agosto,Linea 5,0
8/12/2005,2005,Agosto,Linea 6,0
8/12/2005,2005,Agosto,Linea 2,0
8/12/2005,2005,Agosto,Linea 4,0
8/13/2005,2005,Agosto,Linea 7,0
8/13/2005,2005,Agosto,Linea 5,0
8/13/2005,2005,Agosto,Linea 6,0
8/13/2005,2005,Agosto,Linea 1,166912
8/13/2005,2005,Agosto,Linea 2,0
8/13/2005,2005,Agosto,Linea 4,0
8/13/2005,2005,Agosto,Linea 3,0
8/14/2005,2005,Agosto,Linea 1,101768
8/14/2005,2005,Agosto,Linea 2,0
8/14/2005,2005,Agosto,Linea 5,0
8/14/2005,2005,Agosto,Linea 3,0
8/14/2005,2005,Agosto,Linea 6,0
8/14/2005,2005,Agosto,Linea 7,0
8/14/2005,2005,Agosto,Linea 4,0
8/15/2005,2005,Agosto,Linea 1,264223
8/15/2005,2005,Agosto,Linea 6,0
8/15/2005,2005,Agosto,Linea 5,0
8/15/2005,2005,Agosto,Linea 3,0
8/15/2005,2005,Agosto,Linea 7,0
8/15/2005,2005,Agosto,Linea 2,0
8/15/2005,2005,Agosto,Linea 4,0
8/16/2005,2005,Agosto,Linea 4,0
8/16/2005,2005,Agosto,Linea 7,0
8/16/2005,2005,Agosto,Linea 2,0
8/16/2005,2005,Agosto,Linea 5,0
8/16/2005,2005,Agosto,Linea 6,0
8/16/2005,2005,Agosto,Linea 1,257282
8/16/2005,2005,Agosto,Linea 3,0
8/17/2005,2005,Agosto,Linea 7,0
8/17/2005,2005,Agosto,Linea 2,0
8/17/2005,2005,Agosto,Linea 5,0
8/17/2005,2005,Agosto,Linea 6,0
8/17/2005,2005,Agosto,Linea 1,273564
8/17/2005,2005,Agosto,Linea 4,0
8/17/2005,2005,Agosto,Linea 3,0
8/18/2005,2005,Agosto,Linea 2,0
8/18/2005,2005,Agosto,Linea 3,0
8/18/2005,2005,Agosto,Linea 6,0
8/18/2005,2005,Agosto,Linea 4,0
8/18/2005,2005,Agosto,Linea 5,0
8/18/2005,2005,Agosto,Linea 7,0
8/18/2005,2005,Agosto,Linea 1,265590
8/19/2005,2005,Agosto,Linea 1,279058
8/19/2005,2005,Agosto,Linea 2,0
8/19/2005,2005,Agosto,Linea 6,0
8/19/2005,2005,Agosto,Linea 7,0
8/19/2005,2005,Agosto,Linea 3,0
8/19/2005,2005,Agosto,Linea 4,0
8/19/2005,2005,Agosto,Linea 5,0
8/20/2005,2005,Agosto,Linea 3,0
8/20/2005,2005,Agosto,Linea 2,0
8/20/2005,2005,Agosto,Linea 6,0
8/20/2005,2005,Agosto,Linea 4,0
8/20/2005,2005,Agosto,Linea 5,0
8/20/2005,2005,Agosto,Linea 7,0
8/20/2005,2005,Agosto,Linea 1,150914
8/21/2005,2005,Agosto,Linea 7,0
8/21/2005,2005,Agosto,Linea 4,0
8/21/2005,2005,Agosto,Linea 2,0
8/21/2005,2005,Agosto,Linea 5,0
8/21/2005,2005,Agosto,Linea 6,0
8/21/2005,2005,Agosto,Linea 1,106369
8/21/2005,2005,Agosto,Linea 3,0
8/22/2005,2005,Agosto,Linea 4,0
8/22/2005,2005,Agosto,Linea 1,248816
8/22/2005,2005,Agosto,Linea 2,0
8/22/2005,2005,Agosto,Linea 6,0
8/22/2005,2005,Agosto,Linea 5,0
8/22/2005,2005,Agosto,Linea 7,0
8/22/2005,2005,Agosto,Linea 3,0
8/23/2005,2005,Agosto,Linea 7,0
8/23/2005,2005,Agosto,Linea 4,0
8/23/2005,2005,Agosto,Linea 6,0
8/23/2005,2005,Agosto,Linea 1,241732
