linea, estacion, long, lat
1,El Caminero,-99.16867231,19.27951253
1,La Joya,-99.17004917,19.28029013
1,Santa Úrsula,-99.17533758,19.28326489
1,Fuentes Brotantes,-99.1745811,19.28812529
1,Ayuntamiento,-99.17756259,19.29257145
1,Corregidora,-99.18211451,19.29437654
1,Villa Olímpica,-99.18557018,19.29910652
1,Perisur,-99.18614849,19.30408877
1,CCU,-99.18754655,19.3151488
1,Ciudad Universitaria,-99.18820683,19.32305516
1,Dr. Gálvez,-99.19001425,19.34081299
1,Bombilla,-99.18775601,19.34681133
1,Altavista,-99.18671932,19.35048715
1,Olivo,-99.1852004,19.35464
1,Francia,-99.1839041,19.35846281
1,José María Velasco,-99.18284982,19.36176747
1,Teatro de los Insurgentes,-99.18183395,19.36494103
1,Río Churubusco,-99.18059901,19.36880038
1,Félix Cuevas,-99.17880134,19.37423869
1,Parque Hundido,-99.17707952,19.37959623
1,Ciudad de los Deportes,-99.1761325,19.38248602
1,Colonia del Valle,-99.17510502,19.38568057
1,Nápoles,-99.1737983,19.38973431
1,Poliforum,-99.17263796,19.39328238
1,La Piedad,-99.17114322,19.3979699
1,Nuevo León,-99.16931965,19.40358431
1,Chilpancingo,-99.16838863,19.40634601
1,Campeche,-99.16727602,19.40977662
1,Sonora,-99.16613526,19.41329063
1,Álvaro Obregón,-99.16507032,19.41655106
1,Durango,-99.16404285,19.41989268
1,Glorieta Insurgentes,-99.16298689,19.42372469
1,Hamburgo,-99.1612746,19.42745997
1,Reforma,-99.15972187,19.43083179
1,Plaza de la República,-99.15731676,19.43602841
1,Revolución,-99.1554728,19.44028407
1,El Chopo,-99.15441454,19.44334905
1,Buenavista,-99.15309081,19.44641823
1,Manuel González,-99.14941266,19.45674501
1,San Simón,-99.1464268,19.45961894
1,Circuito,-99.14396078,19.46260801
1,La Raza,-99.13995403,19.46753736
1,Potrero,-99.13254526,19.47671888
1,Euzkaro,-99.12767095,19.48259186
1,Deportivo 18 de Marzo,-99.12453391,19.48630419
1,Indios Verdes,-99.1196928,19.49682306
