cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,1992,157014,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,1993,178044,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,1994,116545,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,1995,125116,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,1996,122115,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,1997,124104,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,1998,148034,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,1999,152698,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2000,145099,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2001,137986,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2002,132031,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2003,127355,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2004,143784,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2005,141860,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2006,165420,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2007,189426,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2008,192086,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2009,202083,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2010,207311,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2011,220082,No especificada
09,Ciudad de México,002,Azcapotzalco,6207048973,Vehículos de motor registrados en circulación,2012,230460,No especificada
