linea,estacion,long,lat
B,Buenavista,-99.15207205200404,19.449514308541822
B,Guerrero,-99.14512917889407,19.44488241494456
B,Garibaldi,-99.13822425580165,19.444002970593047
B,Lagunilla,-99.13121213513223,19.44321557943563
B,Tepito,-99.12408076565022,19.442845354774178
B,Morelos,-99.118965384172100,19.439631821502300
B,San Lázaro,-99.114180562287700,19.429957120780900
B,Ricardo Flores Magón,-99.10371556533795,19.436561254411686
B,Romero Rubio,-99.09429790130012,19.440829884844703
B,Oceanía,-99.087143332948000,19.445662033048100
B,Deportivo Oceanía,-99.0791583055843,19.451054929312704
B,Bosque de Aragón,-99.06926463683887,19.458109051565543
B,Villa de Aragón,-99.06137244806133,19.461641292248146
B,Nezahualcóyotl,-99.05461005060575,19.472841901197484
B,Impulsora,-99.04896154564116,19.485741318772952
B,Río de los Remedios,-99.04686429604678,19.490612326928954
B,Múzquiz,-99.04205809863969,19.50144603098164
B,Ecatepec,-99.03604397125655,19.515162076394745
B,Olímpica,-99.03338486540008,19.521333133154357
B,Plaza Aragón,-99.03022439549267,19.52851817967293
B,Ciudad Azteca,-99.02749041333233,19.53456635814493
