linea,estacion,long,lat
1,Observatorio,-99.20043682583561,19.398256052223473
1,Tacubaya,-99.18762737394131,19.402517709829795
1,Juanacatlán,-99.1819833520426,19.413011945861626
1,Chapultepec,-99.1768308405911,19.42071232890106
1,Sevilla,-99.1708063577326,19.421933392487162
1,Insurgentes,-99.16329831346766,19.42367532881123
1,Cuauhtémoc,-99.1546050903955,19.425668860921945
1,Balderas,-99.148954792334000,19.427026378159700
1,Salto del Agua,-99.14209332922051,19.42688561769853
1,Isabel la Católica,-99.13780859877052,19.4263124897534
1,Pino Suárez,-99.13310527443376,19.425888867904746
1,Merced,-99.12557930218702,19.42553209202687
1,Candelaria,-99.12086463039476,19.429332018761173
1,San Lázaro,-99.11418056228776,19.429957120780955
1,Moctezuma,-99.11045701328466,19.42707990186976
1,Balbuena,-99.10242244792302,19.42310186385474
1,Boulevard Puerto Aéreo,-99.09639802622029,19.41986534341366
1,Gómez Farías,-99.0902298786522,19.41637929665586
1,Zaragoza,-99.08263300099898,19.41206366634647
1,Pantitlán,-99.07449800339786,19.415170548588264
